L24 Pressure [Pa],L24 Altitude [km],L30 Pressure [Pa],L30 Altitude [km],L37 Pressure [Pa],L37 Altitude [km],L56 Pressure,L56 Altitude [km]
0.012,109.5,0.034,99.3,0.005,118.9,0.003,122.9
0.15,84.5,0.11,87.7,0.016,107.2,0.013,108.8
0.36,75.8,0.35,76.1,0.03,99.7,0.038,98.2
0.73,68.7,0.97,65.8,0.06,93.4,0.076,91.3
1.4,62.3,2.5,56.5,0.11,87.3,0.13,86.1
2.5,56.2,5.6,48.4,0.21,81.3,0.21,81.2
4.6,50.3,10.8,41.8,0.37,75.6,0.34,76.4
8,44.8,17.8,36.8,0.64,70.1,0.53,71.9
13.2,39.8,27.3,32.5,1.1,64.7,0.82,67.6
21.8,34.8,41.6,28.3,1.9,59.4,1.2,63.4
36,29.7,62.2,24.3,3.2,54.1,1.9,59.4
59.5,24.7,90.6,20.5,5.3,48.9,2.8,55.3
98.1,19.7,128.1,17.1,8.6,44,4.1,51.4
161.8,14.7,174.7,14,13.6,39.5,6,47.7
255.9,10.1,229.4,11.2,21,35.2,8.4,44.3
366.2,6.5,290.1,8.9,31.5,31.1,11.7,41
470.5,4,353.5,6.9,46.2,27.3,15.8,38
561.4,2.3,416.1,5.3,66.4,23.6,21,35.2
630.3,1.1,474.8,4,93.5,20.2,27.4,32.5
671.2,0.49,527.2,2.9,129.1,17,35.2,30
691.6,0.19,572,2.1,174.6,14,44.5,27.6
699.4,0.08,608.7,1.5,229.3,11.2,55.5,25.4
703.2,0.025,637.7,1,289.9,8.9,68.3,23.3
704.6,0.005,659.9,0.66,353.2,6.9,83,21.4
,,676.4,0.41,415.9,5.3,99.6,19.6
,,688.3,0.24,474.5,4,118.2,17.9
,,696.8,0.12,526.9,2.9,138.6,16.3
,,701.2,0.05,571.6,2.1,161,14.8
,,703.2,0.025,608.3,1.5,185.1,13.4
,,704.6,0.005,637.3,1,210.7,12.1
,,,,659.4,0.67,237.8,10.9
,,,,675.9,0.42,266.1,9.7
,,,,687.9,0.25,295.3,8.7
,,,,696.6,0.12,325.2,7.7
,,,,701.2,0.05,355.5,6.8
,,,,703.2,0.025,385.8,6
,,,,704.6,0.005,415.9,5.3
,,,,,,445.5,4.6
,,,,,,474.3,4
,,,,,,502.1,3.4
,,,,,,528.5,2.9
,,,,,,553.5,2.4
,,,,,,576.7,2
,,,,,,598.1,1.6
,,,,,,617.5,1.3
,,,,,,634.8,1
,,,,,,650.1,0.81
,,,,,,663.2,0.61
,,,,,,674.4,0.44
,,,,,,683.5,0.31
,,,,,,690.8,0.2
,,,,,,696.3,0.12
,,,,,,700.2,0.07
,,,,,,702.8,0.031
,,,,,,704.2,0.011
,,,,,,704.8,0.002
